Rk,School,City State,Start,End,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
133,jacksonville-state,Jacksonville Alabama,1996,2022,27,803,360,443,0.448,-8.79,-6.28,0,1,1,2,0,0
134,james-madison,Harrisonburg Virginia,1977,2022,46,1366,693,673,0.507,-2.44,-2.26,0,8,3,5,0,0
135,missouri-kansas-city,Kansas City Missouri,1990,2022,33,976,421,555,0.431,-6.8,-3.28,0,0,0,0,0,0
136,kansas,Lawrence Kansas,1899,2022,124,3232,2355,877,0.729,15.83,7.25,47,63,16,50,16,3
137,kansas-state,Manhattan Kansas,1906,2022,117,2903,1691,1212,0.583,10.23,6.36,16,19,2,31,4,0
138,kennesaw-state,Kennesaw Georgia,2010,2022,13,397,103,294,0.259,-13.34,-3.3,0,0,0,0,0,0
139,kent-state,Kent Ohio,1914,2022,103,2492,1242,1250,0.498,-1.98,-0.38,0,9,6,6,0,0
140,kentucky,Lexington Kentucky,1903,2022,119,3093,2355,737,0.762,17.65,6.81,54,56,33,60,17,8
141,la-salle,Philadelphia Pennsylvania,1932,2022,91,2450,1408,1042,0.575,2.6,0.67,6,9,8,12,2,1
142,lafayette,Easton Pennsylvania,1901,2022,112,2679,1371,1308,0.512,-8.14,-6.89,0,17,3,4,0,0
143,lamar,Beaumont Texas,1970,2022,53,1543,774,769,0.502,-5.13,-4.03,0,9,4,6,0,0
144,lehigh,Bethlehem Pennsylvania,1902,2022,121,2600,1135,1465,0.437,-12.96,-7.44,0,4,5,5,0,0
145,liberty,Lynchburg Virginia,1989,2022,34,1051,528,523,0.502,-8.99,-6.84,0,5,6,5,0,0
146,lipscomb,Nashville Tennessee,2004,2022,19,591,311,280,0.526,-5.59,-4.41,0,3,1,1,0,0
147,arkansas-little-rock,Little Rock Arkansas,1979,2022,44,1315,717,598,0.545,-3.47,-3.5,0,13,5,5,0,0
148,long-beach-state,Long Beach California,1970,2022,53,1578,852,726,0.54,0.8,1.13,5,15,5,9,0,0
149,long-island-university,Brooklyn New York,1929,2022,77,2068,1152,914,0.558,-9.22,-6.48,1,9,6,7,0,0
150,longwood,Farmville Virginia,2008,2022,15,478,178,300,0.372,-14.33,-5.66,0,1,1,1,0,0
151,louisiana-lafayette,Lafayette Louisiana,1972,2022,51,1481,858,623,0.579,0.45,-1.25,2,10,7,10,0,0
152,louisiana-state,Baton Rouge Louisiana,1909,2022,114,2842,1624,1218,0.571,5.93,4.56,13,12,1,24,4,0
153,louisiana-tech,Ruston Louisiana,1974,2022,49,1476,865,611,0.586,0.12,-1.55,1,11,6,5,0,0
154,louisiana-monroe,Monroe Louisiana,1974,2022,49,1443,742,701,0.514,-4.84,-4.29,0,10,8,7,0,0
155,louisville,Louisville Kentucky,1912,2022,108,2857,1895,962,0.663,13.36,6.55,35,23,17,43,10,3
156,loyola-il,Chicago Illinois,1921,2022,101,2582,1395,1187,0.54,0.31,1.52,6,7,4,8,2,1
157,loyola-md,Baltimore Maryland,1908,2022,78,1816,828,988,0.456,-8.89,-4.81,0,0,2,2,0,0
158,loyola-marymount,Los Angeles California,1943,2022,75,2071,902,1169,0.436,-4.02,0.46,2,3,2,5,0,0
159,maine,Orono Maine,1904,2022,78,1869,816,1053,0.437,-12.34,-7.22,0,0,0,0,0,0
160,manhattan,Riverdale New York,1905,2022,116,2705,1409,1296,0.521,-3.59,-2.52,0,13,5,8,0,0
161,marist,Poughkeepsie New York,1982,2022,41,1206,528,678,0.438,-7.42,-5.64,0,5,2,2,0,0
162,marquette,Milwaukee Wisconsin,1917,2022,105,2729,1683,1046,0.617,9.05,4.82,22,3,1,34,3,1
163,marshall,Huntington West Virginia,1919,2022,98,2548,1451,1095,0.57,-0.95,-1.23,1,6,4,6,0,0
164,maryland,College Park Maryland,1924,2022,99,2692,1619,1073,0.601,10.1,5.45,24,7,4,29,2,1
165,maryland-baltimore-county,Baltimore Maryland,1987,2022,36,1060,436,624,0.411,-10.89,-6.56,0,3,2,2,0,0
166,maryland-eastern-shore,Princess Anne Maryland,1974,2022,43,1215,350,865,0.288,-19.85,-9.43,0,1,1,0,0,0
167,massachusetts,Amherst Massachusetts,1926,2022,63,1810,982,828,0.543,0.74,-0.19,5,15,5,9,1,0
168,massachusetts-lowell,Lowell Massachusetts,2014,2022,10,282,126,156,0.447,-9.75,-5.52,0,0,0,0,0,0
169,mcneese-state,Lake Charles Louisiana,1974,2022,49,1415,668,747,0.472,-7.53,-4.9,0,6,2,2,0,0
170,memphis,Memphis Tennessee,1956,2022,67,2037,1361,676,0.668,8.84,3.72,16,18,11,26,3,0
171,mercer,Macon Georgia,1974,2022,49,1448,697,751,0.481,-7.56,-5.18,0,3,3,3,0,0
172,merrimack,North Andover Massachusetts,2020,2022,3,79,43,36,0.544,-8.94,-7.33,0,1,0,0,0,0
173,miami-fl,Coral Gables Florida,1949,2022,59,1707,975,732,0.571,3.35,3.56,7,2,1,11,0,0
174,miami-oh,Oxford Ohio,1906,2022,117,2671,1427,1244,0.534,1.97,0.83,1,18,4,17,0,0
175,michigan-state,East Lansing Michigan,1899,2022,123,2904,1777,1127,0.612,11.71,7.79,25,16,6,35,10,2
176,michigan,Ann Arbor Michigan,1918,2022,105,2748,1676,1072,0.61,11.02,7.84,23,15,3,31,8,1
177,middle-tennessee,Murfreesboro Tennessee,1959,2022,64,1829,1007,822,0.551,-3.92,-2.76,0,12,7,9,0,0
178,milwaukee,Milwaukee Wisconsin,1974,2022,39,1149,554,595,0.482,-4.22,-1.67,0,4,4,4,0,0
179,minnesota,Minneapolis Minnesota,1896,2022,127,2956,1690,1264,0.572,9.75,7.68,10,9,0,14,1,0
180,mississippi,University Mississippi,1909,2022,112,2722,1357,1363,0.499,2.7,4.45,2,3,2,9,0,0
181,mississippi-state,Mississippi State Mississippi,1909,2022,110,2721,1481,1240,0.544,4.38,4.43,11,12,5,11,1,0
182,mississippi-valley-state,Itta Bena Mississippi,1980,2022,43,1261,482,779,0.382,-14.99,-8.89,0,7,5,5,0,0
183,missouri-state,Springfield Missouri,1983,2022,40,1255,744,511,0.593,4.37,1.19,0,5,3,6,0,0
184,missouri,Columbia Missouri,1907,2022,116,2896,1683,1213,0.581,8.73,6.19,14,15,8,28,0,0
185,monmouth,West Long Branch New Jersey,1984,2022,39,1164,563,601,0.484,-7.59,-6.09,0,5,4,4,0,0
186,montana,Missoula Montana,1912,2022,107,2727,1488,1239,0.546,-2.45,-2.66,0,13,11,12,0,0
187,montana-state,Bozeman Montana,1902,2022,111,2707,1483,1224,0.548,-5.18,-2.74,0,11,3,3,0,0
188,morehead-state,Morehead Kentucky,1956,2022,67,1869,942,927,0.504,-5.69,-3.52,0,9,5,8,0,0
189,morgan-state,Baltimore Maryland,1985,2022,38,1115,419,696,0.376,-15.24,-9.07,0,3,2,2,0,0
190,mount-st-marys,Emmitsburg Maryland,1989,2022,34,1009,440,569,0.436,-9.12,-6.45,0,2,6,6,0,0
191,murray-state,Murray Kentucky,1954,2022,69,1979,1264,715,0.639,-0.41,-3.28,3,29,17,18,0,0
192,navy,Annapolis Maryland,1908,2022,115,2540,1445,1095,0.569,-4.84,-4.04,1,8,6,11,0,0
193,north-carolina-state,Raleigh North Carolina,1913,2022,110,2896,1782,1114,0.615,10.88,5.92,17,13,17,27,3,2
194,nebraska,Lincoln Nebraska,1897,2022,126,2971,1539,1432,0.518,5.66,6.27,2,7,1,7,0,0
195,nevada,Reno Nevada,1913,2022,67,1784,1002,782,0.562,0.56,1.31,4,12,5,9,0,0
196,nevada-las-vegas,Las Vegas Nevada,1970,2022,53,1668,1147,521,0.688,9.16,3.22,16,13,11,20,4,1
197,new-hampshire,Durham New Hampshire,1927,2022,70,1797,629,1168,0.35,-14.45,-7.04,0,1,0,0,0,0
198,new-mexico,Albuquerque New Mexico,1900,2022,116,2671,1535,1136,0.575,3.74,2.2,11,12,6,15,0,0
199,new-mexico-state,Las Cruces New Mexico,1905,2022,112,2699,1603,1094,0.594,1.34,-0.35,5,21,13,26,1,0
200,new-orleans,New Orleans Louisiana,1976,2022,45,1322,715,607,0.541,-2.56,-2.51,2,8,4,5,0,0
201,niagara,Niagara University New York,1906,2022,116,2798,1506,1291,0.538,-3.05,-1.9,2,10,2,3,0,0
202,nicholls-state,Thibodaux Louisiana,1981,2022,42,1196,507,689,0.424,-11.64,-6.02,0,5,2,2,0,0
203,njit,Newark New Jersey,2010,2022,13,393,184,209,0.468,-9.89,-6.34,0,1,0,0,0,0
204,norfolk-state,Norfolk Virginia,1998,2022,25,771,383,388,0.497,-10.81,-8.73,0,4,3,3,0,0
205,north-alabama,Florence Alabama,2019,2022,4,116,45,71,0.388,-10.34,-4.25,0,0,0,0,0,0
206,north-carolina-at,Greensboro North Carolina,1974,2022,49,1438,696,742,0.484,-12.65,-9.64,0,12,14,10,0,0
207,north-carolina-central,Durham North Carolina,2011,2022,12,371,221,150,0.596,-7.92,-9.13,0,4,4,4,0,0
208,north-carolina,Chapel Hill North Carolina,1911,2022,112,3159,2321,838,0.735,15.73,6.98,51,39,26,52,21,6
209,north-dakota,Grand Forks North Dakota,2011,2022,29,574,320,254,0.557,-8.61,-4.34,0,1,3,1,0,0
210,north-dakota-state,Fargo North Dakota,2009,2022,43,830,572,258,0.689,-0.16,-3.05,0,4,5,4,0,0
211,north-florida,Jacksonville Florida,2010,2022,13,417,203,214,0.487,-6.08,-2.3,0,3,1,1,0,0
212,north-texas,Denton Texas,1922,2022,67,1853,844,1009,0.455,-4.47,-0.33,0,5,4,4,0,0
213,northeastern,Boston Massachusetts,1938,2022,59,1621,843,778,0.52,-4.46,-4.11,0,14,9,9,0,0
214,northern-arizona,Flagstaff Arizona,1919,2022,83,1990,894,1096,0.449,-8.17,-3.02,0,6,2,2,0,0
215,northern-colorado,Greeley Colorado,1911,2022,43,825,446,379,0.541,-4.04,-4.17,0,3,1,1,0,0
216,northern-illinois,De Kalb Illinois,1927,2022,56,1566,699,867,0.446,-4.18,-1.19,0,3,2,3,0,0
217,northern-iowa,Cedar Falls Iowa,1981,2022,42,1272,676,596,0.531,1.22,1.63,1,4,6,8,0,0
218,northern-kentucky,Highland Heights Kentucky,2013,2022,10,308,171,137,0.555,-3.21,-4.23,0,2,3,2,0,0
219,northwestern-state,Natchitoches Louisiana,1977,2022,46,1334,584,750,0.438,-10.06,-5.58,0,3,3,3,0,0
220,northwestern,Evanston Illinois,1905,2022,117,2694,1120,1573,0.416,3.54,7.47,0,2,0,1,0,0
221,notre-dame,Notre Dame Indiana,1897,2022,118,3005,1937,1067,0.645,10.07,5.8,25,1,1,37,1,0
