team,Season
notre-dame-fighting-irish,2012-2013
notre-dame-fighting-irish,2015-2016
notre-dame-fighting-irish,2016-2017
notre-dame-fighting-irish,2017-2018
ohio-bobcats,2007-2008
ohio-bobcats,2012-2013
ohio-st.-buckeyes,2007-2008
ohio-st.-buckeyes,2008-2009
ohio-st.-buckeyes,2013-2014
ohio-st.-buckeyes,2014-2015
ohio-st.-buckeyes,2015-2016
ohio-st.-buckeyes,2018-2019
oklahoma-sooners,2007-2008
oklahoma-sooners,2012-2013
oklahoma-sooners,2013-2014
oklahoma-sooners,2017-2018
oklahoma-sooners,2018-2019
oklahoma-state-cowboys,2006-2007
oklahoma-state-cowboys,2007-2008
oklahoma-state-cowboys,2008-2009
oklahoma-state-cowboys,2009-2010
oklahoma-state-cowboys,2010-2011
oklahoma-state-cowboys,2012-2013
oklahoma-state-cowboys,2013-2014
oklahoma-state-cowboys,2014-2015
oklahoma-state-cowboys,2016-2017
old-dominion-monarchs,2006-2007
old-dominion-monarchs,2014-2015
old-dominion-monarchs,2017-2018
oral-roberts-golden-eagles,2011-2012
oregon-ducks,2007-2008
oregon-ducks,2011-2012
oregon-ducks,2013-2014
oregon-ducks,2014-2015
oregon-ducks,2017-2018
oregon-st.-beavers,2015-2016
penn-st.-nittany-lions,2008-2009
penn-st.-nittany-lions,2010-2011
penn-st.-nittany-lions,2017-2018
pittsburgh-panthers,2012-2013
pittsburgh-panthers,2013-2014
pittsburgh-panthers,2014-2015
pittsburgh-panthers,2015-2016
pittsburgh-panthers,2016-2017
portland-pilots,2009-2010
princeton-tigers,2015-2016
providence-friars,2006-2007
providence-friars,2008-2009
providence-friars,2014-2015
providence-friars,2015-2016
providence-friars,2016-2017
providence-friars,2017-2018
purdue-boilermakers,2006-2007
purdue-boilermakers,2007-2008
purdue-boilermakers,2011-2012
purdue-boilermakers,2014-2015
rhode-island-rams,2007-2008
rhode-island-rams,2008-2009
rhode-island-rams,2009-2010
rhode-island-rams,2014-2015
richmond-spiders,2009-2010
richmond-spiders,2013-2014
richmond-spiders,2014-2015
richmond-spiders,2016-2017
rider-broncs,2017-2018
saint-joseph-s-hawks,2007-2008
saint-joseph-s-hawks,2011-2012
saint-joseph-s-hawks,2012-2013
saint-louis-billikens,2006-2007
saint-louis-billikens,2011-2012
saint-louis-billikens,2013-2014
saint-mary-s-gaels,2007-2008
saint-mary-s-gaels,2008-2009
saint-mary-s-gaels,2010-2011
saint-mary-s-gaels,2012-2013
saint-mary-s-gaels,2013-2014
saint-mary-s-gaels,2014-2015
saint-mary-s-gaels,2015-2016
saint-mary-s-gaels,2017-2018
san-diego-toreros,2018-2019
san-diego-st.-aztecs,2006-2007
san-diego-st.-aztecs,2008-2009
san-diego-st.-aztecs,2011-2012
san-diego-st.-aztecs,2012-2013
san-diego-st.-aztecs,2014-2015
san-diego-st.-aztecs,2015-2016
san-francisco-dons,2013-2014
seton-hall-pirates,2009-2010
seton-hall-pirates,2011-2012
seton-hall-pirates,2016-2017
seton-hall-pirates,2017-2018
seton-hall-pirates,2018-2019
south-alabama-jaguars,2007-2008
south-carolina-gamecocks,2008-2009
south-carolina-gamecocks,2015-2016
south-carolina-gamecocks,2016-2017
south-florida-bulls,2009-2010
south-florida-bulls,2011-2012
southern-california-trojans,2006-2007
southern-california-trojans,2007-2008
southern-california-trojans,2010-2011
southern-california-trojans,2015-2016
southern-california-trojans,2016-2017
southern-california-trojans,2017-2018
southern-illinois-salukis,2007-2008
southern-methodist-mustangs,2013-2014
southern-miss-golden-eagles,2010-2011
southern-miss-golden-eagles,2011-2012
southern-miss-golden-eagles,2012-2013
southern-miss-golden-eagles,2013-2014
st.-bonaventure-bonnies,2015-2016
st.-bonaventure-bonnies,2017-2018
st.-john-s-red-storm,2009-2010
st.-john-s-red-storm,2010-2011
st.-john-s-red-storm,2013-2014
st.-john-s-red-storm,2014-2015
st.-john-s-red-storm,2018-2019
stanford-cardinal,2006-2007
stanford-cardinal,2012-2013
stanford-cardinal,2013-2014
stanford-cardinal,2014-2015
stephen-f.-austin-lumberjacks,2007-2008
stephen-f.-austin-lumberjacks,2012-2013
syracuse-orange,2006-2007
syracuse-orange,2007-2008
syracuse-orange,2014-2015
syracuse-orange,2015-2016
syracuse-orange,2017-2018
syracuse-orange,2018-2019
temple-owls,2010-2011
temple-owls,2012-2013
temple-owls,2014-2015
temple-owls,2015-2016
temple-owls,2017-2018
temple-owls,2018-2019
tennessee-volunteers,2010-2011
tennessee-volunteers,2012-2013
tennessee-volunteers,2013-2014
texas-longhorns,2006-2007
texas-longhorns,2008-2009
texas-longhorns,2009-2010
texas-longhorns,2011-2012
texas-longhorns,2013-2014
texas-longhorns,2014-2015
texas-longhorns,2015-2016
texas-longhorns,2017-2018
texas-longhorns,2018-2019
texas-a-m-aggies,2007-2008
texas-a-m-aggies,2008-2009
texas-a-m-aggies,2010-2011
texas-a-m-aggies,2014-2015
texas-a-m-aggies,2017-2018
texas-arlington-mavericks,2016-2017
texas-christian-horned-frogs,2016-2017
texas-christian-horned-frogs,2017-2018
texas-christian-horned-frogs,2018-2019
texas-el-paso-miners,2009-2010
texas-el-paso-miners,2010-2011
texas-el-paso-miners,2014-2015
texas-tech-red-raiders,2006-2007
texas-tech-red-raiders,2007-2008
texas-tech-red-raiders,2009-2010
texas-tech-red-raiders,2015-2016
texas-tech-red-raiders,2017-2018
toledo-rockets,2013-2014
toledo-rockets,2014-2015
toledo-rockets,2017-2018
toledo-rockets,2018-2019
tulsa-golden-hurricane,2008-2009
tulsa-golden-hurricane,2009-2010
tulsa-golden-hurricane,2014-2015
tulsa-golden-hurricane,2015-2016
ucla-bruins,2008-2009
ucla-bruins,2010-2011
ucla-bruins,2012-2013
ucla-bruins,2014-2015
ucla-bruins,2017-2018
utah-utes,2013-2014
utah-utes,2017-2018
utah-st.-aggies,2006-2007
utah-st.-aggies,2007-2008
utah-st.-aggies,2009-2010
utah-valley-wolverines,2018-2019
valparaiso-beacons,2010-2011
valparaiso-beacons,2015-2016
valparaiso-beacons,2016-2017
vanderbilt-commodores,2006-2007
vanderbilt-commodores,2009-2010
vanderbilt-commodores,2010-2011
vanderbilt-commodores,2015-2016
vanderbilt-commodores,2016-2017
vermont-catamounts,2017-2018
villanova-wildcats,2007-2008
villanova-wildcats,2010-2011
villanova-wildcats,2012-2013
virginia-cavaliers,2006-2007
virginia-cavaliers,2011-2012
virginia-cavaliers,2012-2013
vcu-rams,2007-2008
vcu-rams,2009-2010
vcu-rams,2010-2011
vcu-rams,2012-2013
vcu-rams,2015-2016
vcu-rams,2018-2019
virginia-tech-hokies,2006-2007
virginia-tech-hokies,2007-2008
virginia-tech-hokies,2008-2009
virginia-tech-hokies,2009-2010
virginia-tech-hokies,2010-2011
virginia-tech-hokies,2016-2017
virginia-tech-hokies,2017-2018
virginia-tech-hokies,2018-2019
wake-forest-demon-deacons,2009-2010
wake-forest-demon-deacons,2016-2017
washington-huskies,2006-2007
washington-huskies,2011-2012
washington-huskies,2017-2018
washington-huskies,2018-2019
washington-st.-cougars,2006-2007
washington-st.-cougars,2007-2008
weber-st.-wildcats,2011-2012
west-virginia-mountaineers,2006-2007
west-virginia-mountaineers,2007-2008
west-virginia-mountaineers,2008-2009
west-virginia-mountaineers,2010-2011
west-virginia-mountaineers,2011-2012
west-virginia-mountaineers,2014-2015
west-virginia-mountaineers,2016-2017
west-virginia-mountaineers,2017-2018
western-kentucky-hilltoppers,2017-2018
wichita-st.-shockers,2009-2010
wichita-st.-shockers,2010-2011
wichita-st.-shockers,2012-2013
wichita-st.-shockers,2015-2016
wichita-st.-shockers,2018-2019
william-mary-tribe,2009-2010
william-mary-tribe,2015-2016
wisconsin-badgers,2008-2009
wisconsin-badgers,2009-2010
wisconsin-badgers,2011-2012
wisconsin-badgers,2012-2013
wisconsin-badgers,2015-2016
wisconsin-badgers,2016-2017
wisconsin-badgers,2018-2019
wyoming-cowboys,2012-2013
xavier-musketeers,2006-2007
xavier-musketeers,2010-2011
xavier-musketeers,2011-2012
xavier-musketeers,2013-2014
xavier-musketeers,2014-2015
xavier-musketeers,2016-2017
xavier-musketeers,2018-2019
yale-bulldogs,2014-2015
