season_number,season,conf,win,loss,wpct,conf_win,conf_loss,conf_wpct,srs,sos,ppg,opp_ppg,ap_pre,ap_highest,ap_final,tournament_outcome,seed,coach,school
18,2005,Southern,8,22,0.267,3,13,0.188,-12.9,-2.53,69.8,75.3,NA,NA,NA,NA,NA,Steve Shurina (8-22),western-carolina
19,2004,Southern,13,15,0.464,6,10,0.375,-7.17,-3.84,74.7,70.2,NA,NA,NA,NA,NA,Steve Shurina (13-15),western-carolina
20,2003,Southern,9,19,0.321,6,10,0.375,-11.8,-4.38,73,75.3,NA,NA,NA,NA,NA,Steve Shurina (9-19),western-carolina
21,2002,Southern,12,16,0.429,6,10,0.375,-7.87,-3,77.9,77.8,NA,NA,NA,NA,NA,Steve Shurina (12-16),western-carolina
22,2001,Southern,6,25,0.194,3,13,0.188,-15.14,-4.35,65.5,75.5,NA,NA,NA,NA,NA,Steve Shurina (6-25),western-carolina
23,2000,Southern,14,14,0.5,7,9,0.438,-10.42,-4.94,76.9,80.3,NA,NA,NA,NA,NA,Phil Hopkins (14-14),western-carolina
24,1999,Southern,8,21,0.276,2,14,0.125,-22.01,-2.25,63.9,79,NA,NA,NA,NA,NA,Phil Hopkins (8-21),western-carolina
25,1998,Southern,12,15,0.444,6,9,0.4,-10.7,-6.36,72.1,73.3,NA,NA,NA,NA,NA,Phil Hopkins (12-15),western-carolina
26,1997,Southern,14,13,0.519,7,7,0.5,-11.08,-4.46,73.7,74.5,NA,NA,NA,NA,NA,Phil Hopkins (14-13),western-carolina
27,1996,Southern,17,13,0.567,10,4,0.714,-4.86,-4.31,81,79.9,NA,NA,NA,Lost First Round,16,Phil Hopkins (17-13),western-carolina
28,1995,Southern,14,14,0.5,8,6,0.571,-8.48,-2.82,75.1,77.3,NA,NA,NA,NA,NA,Benny Dees (14-14),western-carolina
29,1994,Southern,12,16,0.429,8,10,0.444,-4.48,-1.17,73.1,75.2,NA,NA,NA,NA,NA,Benny Dees (12-16),western-carolina
30,1993,Southern,6,21,0.222,2,16,0.111,-14.58,-6.04,69.2,75.3,NA,NA,NA,NA,NA,Greg Blatt (6-21),western-carolina
31,1992,Southern,11,17,0.393,5,9,0.357,-12.51,-6.05,80.1,84.3,NA,NA,NA,NA,NA,Greg Blatt (11-17),western-carolina
32,1991,Southern,11,17,0.393,3,11,0.214,-12.29,-4.75,80.9,86.8,NA,NA,NA,NA,NA,Greg Blatt (11-17),western-carolina
1,2022,Summit,16,16,0.5,7,11,0.389,-6.34,-5.5,77.9,77.2,NA,NA,NA,NA,NA,Rob Jeter (16-16),western-illinois
2,2021,Summit,7,15,0.318,5,9,0.357,-12.48,-4.62,73,79.4,NA,NA,NA,NA,NA,Rob Jeter (7-15),western-illinois
3,2020,Summit,5,21,0.192,2,14,0.125,-14.28,-3.03,74.4,81.8,NA,NA,NA,NA,NA,Billy Wright (5-21),western-illinois
4,2019,Summit,10,21,0.323,4,12,0.25,-10.04,-5.18,70.9,73.3,NA,NA,NA,NA,NA,Billy Wright (10-21),western-illinois
5,2018,Summit,12,16,0.429,3,11,0.214,-11.07,-2.28,71.9,71.8,NA,NA,NA,NA,NA,Billy Wright (12-16),western-illinois
6,2017,Summit,8,20,0.286,5,11,0.313,-11,-2.38,71.9,76.8,NA,NA,NA,NA,NA,Billy Wright (8-20),western-illinois
7,2016,Summit,10,17,0.37,3,13,0.188,-6.2,-1.32,70.5,70.9,NA,NA,NA,NA,NA,Billy Wright (10-17),western-illinois
8,2015,Summit,8,20,0.286,3,13,0.188,-13.81,-2.93,62.4,70.8,NA,NA,NA,NA,NA,Billy Wright (8-20),western-illinois
9,2014,Summit,10,20,0.333,4,10,0.286,-7.55,-2.74,61.3,62.7,NA,NA,NA,NA,NA,Jim Molinari (10-20),western-illinois
10,2013,Summit,22,9,0.71,13,3,0.813,-1.87,-5.42,59.5,53.6,NA,NA,NA,NA,NA,Jim Molinari (22-9),western-illinois
11,2012,Summit,18,15,0.545,9,9,0.5,-2.84,-1.39,61.5,60.2,NA,NA,NA,NA,NA,Jim Molinari (18-15),western-illinois
12,2011,Summit,7,23,0.233,2,16,0.111,-15.14,-4.43,57.3,64.8,NA,NA,NA,NA,NA,Jim Molinari (7-23),western-illinois
13,2010,Summit,13,17,0.433,6,12,0.333,-11.84,-5.84,59,60.1,NA,NA,NA,NA,NA,Jim Molinari (13-17),western-illinois
14,2009,Summit,9,20,0.31,6,12,0.333,-10.86,-4.04,58.7,65.1,NA,NA,NA,NA,NA,Jim Molinari (9-20),western-illinois
15,2008,Summit,12,18,0.4,7,11,0.389,-10.45,-1.67,67.2,71.6,NA,NA,NA,NA,NA,Derek Thomas (12-18),western-illinois
16,2007,Mid-Cont,7,23,0.233,3,11,0.214,-15.02,-4.88,62.4,70.5,NA,NA,NA,NA,NA,Derek Thomas (7-23),western-illinois
17,2006,Mid-Cont,7,21,0.25,3,13,0.188,-12.02,-3.1,67.8,73.3,NA,NA,NA,NA,NA,Derek Thomas (7-21),western-illinois
18,2005,Mid-Cont,11,17,0.393,7,9,0.438,-5.78,-1.58,67.1,68.6,NA,NA,NA,NA,NA,Derek Thomas (11-17),western-illinois
19,2004,Mid-Cont,3,25,0.107,1,15,0.063,-13.93,-1.15,65.9,78.7,NA,NA,NA,NA,NA,Derek Thomas (3-25),western-illinois
20,2003,Mid-Cont,7,21,0.25,3,11,0.214,-14.01,-2.97,67.2,75.8,NA,NA,NA,NA,NA,Jim Kerwin (7-21),western-illinois
21,2002,Mid-Cont,12,16,0.429,3,11,0.214,-7.45,-3.06,73.6,74.5,NA,NA,NA,NA,NA,Jim Kerwin (12-16),western-illinois
22,2001,Mid-Cont,5,23,0.179,5,11,0.313,-12.87,-1.69,69.4,80.4,NA,NA,NA,NA,NA,Jim Kerwin (5-23),western-illinois
23,2000,Mid-Cont,8,22,0.267,3,13,0.188,-9.75,-2.68,65.8,70.8,NA,NA,NA,NA,NA,Jim Kerwin (8-22),western-illinois
24,1999,Mid-Cont,16,12,0.571,9,5,0.643,-3.8,-3.72,72.3,72.1,NA,NA,NA,NA,NA,Jim Kerwin (16-12),western-illinois
25,1998,Mid-Cont,16,11,0.593,11,5,0.688,-8.13,-6.69,71,70.2,NA,NA,NA,NA,NA,Jim Kerwin (16-11),western-illinois
26,1997,Mid-Cont,19,10,0.655,11,5,0.688,-1.3,-5.71,75.6,69.4,NA,NA,NA,NA,NA,Jim Kerwin (19-10),western-illinois
27,1996,Mid-Cont,17,12,0.586,12,6,0.667,-12.38,-10.12,74,74.4,NA,NA,NA,NA,NA,Jim Kerwin (17-12),western-illinois
28,1995,Mid-Cont,20,8,0.714,13,5,0.722,-4.34,-9.58,77.8,72,NA,NA,NA,NA,NA,Jim Kerwin (20-8),western-illinois
29,1994,Mid-Cont,7,20,0.259,5,13,0.278,-12.7,-2.59,68.1,77.6,NA,NA,NA,NA,NA,Jim Kerwin (7-20),western-illinois
30,1993,Mid-Cont,7,20,0.259,4,12,0.25,-12.3,-5.72,73.2,79.6,NA,NA,NA,NA,NA,Jim Kerwin (7-20),western-illinois
31,1992,Mid-Cont,10,18,0.357,4,12,0.25,-8.91,-3.58,72.6,76.5,NA,NA,NA,NA,NA,Jack Margenthaler (10-18),western-illinois
32,1991,Mid-Cont,13,15,0.464,6,10,0.375,-8.09,-3.51,75,77.3,NA,NA,NA,NA,NA,Jack Margenthaler (13-15),western-illinois
1,2022,CUSA,19,13,0.594,11,7,0.611,3.3,0.24,75.4,69.2,NA,NA,NA,NA,NA,Rick Stansbury (19-13),western-kentucky
2,2021,CUSA,21,8,0.724,11,3,0.786,5.19,0.5,72.7,68,NA,NA,NA,NA,NA,Rick Stansbury (21-8),western-kentucky
3,2020,CUSA,20,10,0.667,13,5,0.722,4.2,0.96,76.6,72,NA,NA,NA,NA,NA,Rick Stansbury (20-10),western-kentucky
4,2019,CUSA,20,14,0.588,11,7,0.611,3.14,0.96,71.4,69.3,NA,NA,NA,NA,NA,Rick Stansbury (20-14),western-kentucky
5,2018,CUSA,27,11,0.711,14,4,0.778,11.08,3.64,78.4,70.4,NA,NA,NA,NA,NA,Rick Stansbury (27-11),western-kentucky
6,2017,CUSA,15,17,0.469,9,9,0.5,-5.8,-2.89,69,71.9,NA,NA,NA,NA,NA,Rick Stansbury (15-17),western-kentucky
7,2016,CUSA,18,16,0.529,8,10,0.444,-1.29,-0.89,77.1,76.1,NA,NA,NA,NA,NA,Ray Harper (18-16),western-kentucky
8,2015,CUSA,20,12,0.625,12,6,0.667,1.12,-0.44,71.4,67.2,NA,NA,NA,NA,NA,Ray Harper (20-12),western-kentucky
9,2014,Sun Belt,20,12,0.625,12,6,0.667,-1.47,-1.34,68.6,67.6,NA,NA,NA,NA,NA,Ray Harper (20-12),western-kentucky
10,2013,Sun Belt,20,16,0.556,10,10,0.5,-0.63,-1.12,66.9,65.7,NA,NA,NA,Lost Second Round,16,Ray Harper (20-16),western-kentucky
11,2012,Sun Belt,16,19,0.457,7,9,0.438,-2.66,0.51,64.9,68.1,NA,NA,NA,Lost Second Round,16,"Ken McDonald (5-11), Ray Harper (11-8)",western-kentucky
12,2011,Sun Belt,16,16,0.5,8,8,0.5,-3.8,-3.15,70.1,70.7,NA,NA,NA,NA,NA,Ken McDonald (16-16),western-kentucky
13,2010,Sun Belt,21,13,0.618,12,6,0.667,2.32,-2.18,71.2,66.7,NA,NA,NA,NA,NA,Ken McDonald (21-13),western-kentucky
14,2009,Sun Belt,25,9,0.735,15,3,0.833,3.68,-1.23,72.2,67,NA,NA,NA,Lost Second Round,12,Ken McDonald (25-9),western-kentucky
15,2008,Sun Belt,29,7,0.806,16,2,0.889,9.34,0.24,77.4,66.8,NA,NA,NA,Lost Regional Semifinal,12,Darrin Horn (29-7),western-kentucky
16,2007,Sun Belt,22,11,0.667,12,6,0.667,1,-3.71,78.2,72.3,NA,NA,NA,NA,NA,Darrin Horn (22-11),western-kentucky
17,2006,Sun Belt,23,8,0.742,12,2,0.857,5.38,-0.35,77.7,71.6,NA,NA,NA,NA,NA,Darrin Horn (23-8),western-kentucky
18,2005,Sun Belt,22,9,0.71,9,5,0.643,5.01,-0.49,77,71.2,NA,NA,NA,NA,NA,Darrin Horn (22-9),western-kentucky
19,2004,Sun Belt,15,13,0.536,8,6,0.571,1.63,-0.1,76.3,71,NA,NA,NA,NA,NA,Darrin Horn (15-13),western-kentucky
20,2003,Sun Belt,24,9,0.727,12,2,0.857,7.71,1.4,73.6,66.5,20,19,NA,Lost First Round,13,Dennis Felton (24-9),western-kentucky
21,2002,Sun Belt,28,4,0.875,13,1,0.929,10.46,-0.27,77.8,64.7,NA,17,19,Lost First Round,9,Dennis Felton (28-4),western-kentucky
22,2001,Sun Belt,24,7,0.774,14,2,0.875,8.69,-1.63,74.3,60.9,NA,NA,NA,Lost First Round,14,Dennis Felton (24-7),western-kentucky
23,2000,Sun Belt,11,18,0.379,8,8,0.5,-4.01,-1.46,68.8,71.3,NA,NA,NA,NA,NA,Dennis Felton (11-18),western-kentucky
24,1999,Sun Belt,13,16,0.448,7,7,0.5,-1.37,1.06,64.2,66.4,NA,NA,NA,NA,NA,Dennis Felton (13-16),western-kentucky
25,1998,Sun Belt,10,19,0.345,6,12,0.333,-5.28,-1.31,65.7,69.7,NA,NA,NA,NA,NA,"Al Seibert (3-3), Matt Kilcullen (7-16)",western-kentucky
26,1997,Sun Belt,12,15,0.444,9,9,0.5,-4.67,-1.13,70.4,72.9,NA,NA,NA,NA,NA,Matt Kilcullen (12-15),western-kentucky
27,1996,Sun Belt,13,14,0.481,10,8,0.556,2.88,0.85,76.1,74.2,NA,NA,NA,NA,NA,Matt Kilcullen (13-14),western-kentucky
28,1995,Sun Belt,27,4,0.871,17,1,0.944,7.8,-2.43,80.4,69.4,NA,21,21,Lost Second Round,8,Matt Kilcullen (27-4),western-kentucky
29,1994,Sun Belt,20,11,0.645,14,4,0.778,8.07,1.67,77.5,70,NA,25,NA,Lost First Round,11,Ralph Willard (20-11),western-kentucky
30,1993,Sun Belt,26,6,0.813,14,4,0.778,15.22,1.75,85.1,71.7,NA,20,20,Lost Regional Semifinal,7,Ralph Willard (26-6),western-kentucky
31,1992,Sun Belt,21,11,0.656,10,6,0.625,3.93,0.13,79.9,75.3,NA,NA,NA,NA,NA,Ralph Willard (21-11),western-kentucky
32,1991,Sun Belt,14,14,0.5,8,6,0.571,0.31,1.17,84.2,85.1,NA,NA,NA,NA,NA,Ralph Willard (14-14),western-kentucky
